City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
86,kangaatsiaq,68,GL,1520996830,100,68.31,-53.46,13.76,14.34
87,saint george,0,GR,1520992200,62,39.45,22.34,51.8,5.82
88,palu,92,ID,1520996831,82,-0.9,119.87,73.79,1.92
89,pacifica,75,US,1520994900,87,37.61,-122.49,57.2,6.93
90,mangrol,0,IN,1520996832,33,25.33,76.51,72.8,3.15
91,vila velha,40,BR,1520996400,88,-3.71,-38.6,80.6,6.93
92,east london,44,ZA,1520996832,100,-33.02,27.91,70.64,15.12
93,new norfolk,40,AU,1520994600,52,-42.78,147.06,68.0,8.05
94,hue,40,VN,1520994600,83,16.47,107.58,77.0,5.82
95,dombarovskiy,0,RU,1520996834,47,50.76,59.54,-8.02,7.4
96,tuatapere,20,NZ,1520996834,88,-46.13,167.69,60.92,21.5
97,hilo,90,US,1520993040,83,19.71,-155.08,71.6,4.7
98,bowling green,90,US,1520994900,51,36.99,-86.44,41.0,4.7
99,yabrud,0,SY,1520996400,81,33.97,36.66,44.6,6.93
100,buraydah,0,SA,1520992800,48,26.33,43.97,62.6,5.06
101,okhotsk,8,RU,1520996836,100,59.36,143.24,11.24,2.93
102,suclayin,32,PH,1520996836,100,15.76,121.55,77.93,10.2
103,harper,1,US,1520995860,40,30.3,-99.24,57.2,3.36
104,carnarvon,36,ZA,1520996837,53,-30.97,22.13,56.06,2.93
105,alta floresta,80,BR,1520996838,96,-9.87,-56.08,74.33,2.15
106,grindavik,75,IS,1520994600,69,63.84,-22.43,41.0,13.87
107,bodden town,20,KY,1520996400,83,19.28,-81.25,78.8,10.29
108,la romana,20,DO,1520996400,100,18.43,-68.97,78.8,5.17
109,nikolskoye,90,RU,1520994600,93,59.7,30.79,37.4,6.71
110,roald,8,NO,1520994000,92,62.58,6.12,26.6,6.93
111,tiksi,12,RU,1520996840,74,71.64,128.87,-24.67,4.27
112,tvoroyri,92,FO,1520994000,80,61.56,-6.81,41.0,20.8
113,port-cartier,90,CA,1520992800,91,50.03,-66.88,32.0,18.34
114,cao bang,44,VN,1520996841,96,22.67,106.25,65.69,4.27
115,pinehurst,75,US,1520996100,48,35.19,-79.47,44.6,6.93
116,rawlins,1,US,1520995980,58,41.79,-107.24,33.8,2.59
117,santa ines,20,EC,1520996400,87,-0.82,-78.63,51.8,5.82
118,ilulissat,64,GL,1520992200,78,69.22,-51.1,10.4,8.05
119,inhambane,80,MZ,1520996844,100,-23.87,35.38,73.16,6.17
120,kapaa,90,US,1520992560,73,22.08,-159.32,73.4,19.46
121,matara,92,PE,1520996845,99,-13.74,-72.9,45.17,1.59
122,vilyuysk,48,RU,1520996845,64,63.75,121.63,-3.79,4.72
123,atuona,76,PF,1520996846,100,-9.8,-139.03,77.39,7.18
124,hay river,20,CA,1520992800,74,60.82,-115.79,30.2,8.05
125,port hardy,75,CA,1520992800,81,50.7,-127.42,48.2,13.87
126,yangliuqing,0,CN,1520994600,62,39.14,117.0,51.8,6.71
127,hasaki,0,JP,1520994600,42,35.73,140.83,66.2,5.82
128,sfantu gheorghe,20,RO,1520994600,93,44.65,26.83,46.4,9.17
129,yendi,20,GH,1520996849,86,9.45,0.0,76.67,8.97
130,sitka,0,US,1520996849,47,37.17,-99.65,38.6,6.4
131,nanortalik,56,GL,1520996850,100,60.14,-45.24,22.85,4.5
132,ambulu,8,ID,1520996850,99,-8.35,113.61,83.96,2.59
133,saint-augustin,0,FR,1520994600,87,44.83,-0.61,44.6,8.05
